segment_family,priority_rank,segment,order_volume,observed_late_orders,observed_late_rate,expected_late_orders,mean_predicted_risk,mean_positive_delay_days_raw,positive_delay_observations,late_review_mean,late_review_observations,on_time_review_mean,smoothed_late_rate,mean_positive_delay_days,review_penalty_raw,review_penalty,normalized_order_volume,normalized_expected_late_orders,normalized_smoothed_late_rate,normalized_mean_positive_delay_days,normalized_review_penalty,priority_score
product_category,26,toys,488,29,0.05942622950819672,25.47444020294236,0.0522017217273409,3.640943885696041,29,3.740740740740741,27,4.435448577680525,0.05881048604791066,3.993775217383395,0.6947078369397839,0.7794485662522388,0.19413593958240782,0.13350075047077722,0.4512825256563084,0.15289022713466194,0.24630274581602596,0.261758473237012
product_category,27,pet_shop,465,19,0.04086021505376344,22.880731647337612,0.049205874510403466,4.450825414230019,19,3.526315789473684,19,4.465168539325843,0.04201949804616686,4.646053229763366,0.9388527498521588,0.9627823310741271,0.18391825855175478,0.11796941064043857,0.23078683179867776,0.2725969485113673,0.4522008287753475,0.2518018872554738
product_category,28,musical_instruments,124,7,0.056451612903225805,8.489401557616159,0.06846291578722709,4.130626653439154,7,3.7142857142857144,7,4.443478260869565,0.055402537320551344,4.652014550990665,0.7291925465838505,0.8933431282379779,0.03243003109729009,0.0317929442247942,0.406530065634761,0.2736909762198739,0.3742152009774525,0.24678802242637748
product_category,29,home_appliances,214,11,0.0514018691588785,12.396131534487356,0.05792584829199699,4.374599116161616,11,3.727272727272727,11,4.41044776119403,0.051666823840060355,4.680497670025953,0.683175033921303,0.8379719393853813,0.07241226121723679,0.05518676415303602,0.3574734683786246,0.2789182270693331,0.31202904750482685,0.23287461294917758
product_category,30,books_technical,82,8,0.0975609756097561,4.841581425167387,0.059043675916675455,1.5407682291666667,8,4.75,8,4.47945205479452,0.08060637495284799,3.472000368116698,0.0,0.5601380752199262,0.013771657041314972,0.009949497707032658,0.7375015168698619,0.05713357840961461,0.0,0.22945387963250816
product_category,31,small_appliances,104,4,0.038461538461538464,4.056766683800465,0.039007371959619855,10.471345486111112,4,4.0,4,4.181818181818182,0.04311715255698659,6.575374481229405,0.18181818181818166,0.7721255772308142,0.023545091070635273,0.005249962585521297,0.2452009980737069,0.6266679383531418,0.2380784593486187,0.2281631260140548
product_category,32,home_construction,163,8,0.049079754601226995,8.717932673712077,0.05348424953197593,2.3467708333333333,8,3.375,8,4.37012987012987,0.049953246449652274,3.8302237477463277,0.9951298701298699,1.0024180174998685,0.04975566414926699,0.03316140731530697,0.3349711334572049,0.12287509580260925,0.4967147886548351,0.2264885369834133
product_category,33,electronics,445,20,0.0449438202247191,30.088843155779067,0.0676153778781552,2.8428744212962966,20,3.75,20,4.385342789598108,0.0457374575631837,3.567578307289772,0.6353427895981083,0.7596447048640279,0.17503331852509996,0.1611321742943051,0.27961028777125496,0.07467413859591437,0.22406146855329054,0.1953287110846914
product_category,34,signaling_and_security,53,2,0.03773584905660377,3.3515388350709805,0.06323658179379209,0.3763020833333333,2,4.0,2,4.294117647058823,0.04504894654151392,4.243538746619492,0.2941176470588234,0.8892267206730265,0.000888494002665482,0.0010270003129222228,0.2705689070355926,0.19872708294900654,0.36959215498739084,0.1825047955921706
product_category,35,construction_tools_safety,51,2,0.0392156862745098,3.1800314488870907,0.062353557821315506,0.856111111111111,2,4.5,2,4.142857142857143,0.04594100488887063,4.323506917915788,0.0,0.8402071128298894,0.0,0.0,0.28228322808933176,0.21340292272696,0.3145393212001983,0.17778098394813613
